n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2
607,2,2,2,5,57600,0,0.504244,997
608,2,2,3,1,460800,0,0.470179,443
609,2,2,3,1,230400,0,0.41719,523
610,2,2,3,1,115200,0,0.439139,663
611,2,2,3,1,57600,0,0.486068,1046
612,2,2,3,2,460800,0,0.497603,591
613,2,2,3,2,230400,0,0.481001,711
614,2,2,3,2,115200,0,0.445836,959
615,2,2,3,2,57600,0,0.455308,1430
616,2,2,3,3,230400,0,0.446523,632
617,2,2,3,3,115200,0,0.461063,864
618,2,2,3,3,57600,0,0.438273,1316
619,2,2,3,4,460800,0,0.459449,844
620,2,2,3,4,230400,0,0.429331,930
621,2,2,3,4,115200,0,0.41846,1321
622,2,2,3,4,57600,0,0.423425,2101
623,2,2,3,5,460800,0,0.444665,650
624,2,2,3,5,230400,0,0.424931,785
625,2,2,3,5,115200,0,0.429005,1044
626,2,2,3,5,57600,0,0.454723,1838
627,2,2,4,1,460800,0,0.461236,395
628,2,2,4,1,230400,0,0.410723,450
629,2,2,4,1,115200,0,0.425515,582
630,2,2,4,1,57600,0,0.417741,867
631,2,2,4,2,460800,0,0.429615,526
632,2,2,4,2,230400,0,0.448205,623
633,2,2,4,2,115200,0,0.415377,832
634,2,2,4,2,57600,0,0.410924,1254
635,2,2,4,3,460800,0,0.445514,465
636,2,2,4,3,230400,0,0.432181,567
637,2,2,4,3,115200,0,0.415201,830
638,2,2,4,3,57600,0,0.426294,1034
639,2,2,4,4,460800,0,0.459438,731
640,2,2,4,4,230400,0,0.453804,895
641,2,2,4,4,115200,0,0.479886,1228
642,2,2,4,4,57600,0,0.460695,1633
643,2,2,4,5,460800,0,0.44179,509
644,2,2,4,5,230400,0,0.440331,681
645,2,2,4,5,115200,0,0.448985,784
646,2,2,4,5,57600,0,0.438797,1217
647,2,2,5,1,460800,0,0.434718,497
648,2,2,5,1,230400,0,0.445528,608
649,2,2,5,1,115200,0,0.442403,828
650,2,2,5,1,57600,0,0.433258,1213
651,2,2,5,2,460800,0,0.471299,760
652,2,2,5,2,230400,0,0.461487,867
653,2,2,5,2,115200,0,0.414916,1211
654,2,2,5,2,57600,0,0.425829,2020
655,2,2,5,3,460800,0,0.466969,713
656,2,2,5,3,230400,0,0.46948,822
657,2,2,5,3,115200,0,0.45639,1093
658,2,2,5,3,57600,0,0.45411,1849
659,2,2,5,4,460800,0,0.46929,1122
660,2,2,5,4,230400,0,0.469827,1286
661,2,2,5,4,115200,0,0.449133,1971
662,2,2,5,5,460800,0,0.47071,830
663,2,2,5,5,115200,0,0.453982,1291
664,2,3,1,1,460800,0,0.419011,358
665,2,3,1,1,230400,0,0.421279,380
666,2,3,1,1,115200,0,0.412841,466
667,2,3,1,1,57600,0,0.416548,615
668,2,3,1,2,460800,0,0.41389,465
669,2,3,1,2,230400,0,0.412036,499
670,2,3,1,2,115200,0,0.407549,594
671,2,3,1,2,57600,0,0.414133,779
672,2,3,1,3,460800,0,0.442667,446
673,2,3,1,3,230400,0,0.41784,486
674,2,3,1,3,115200,0,0.442594,542
675,2,3,1,3,57600,0,0.407232,730
676,2,3,1,4,460800,0,0.450627,619
677,2,3,1,4,230400,0,0.411443,654
678,2,3,1,4,115200,0,0.411492,793
679,2,3,1,4,57600,0,0.409492,1000
680,2,3,1,5,460800,0,0.458715,561
681,2,3,1,5,230400,0,0.421328,613
682,2,3,1,5,115200,0,0.431571,645
683,2,3,1,5,57600,0,0.421621,913
684,2,3,2,1,460800,0,0.409182,410
685,2,3,2,1,230400,0,0.409928,463
686,2,3,2,1,57600,0,0.439909,726
687,2,3,2,2,460800,0,0.462232,528
688,2,3,2,2,230400,0,0.445303,613
689,2,3,2,2,115200,0,0.456284,727
690,2,3,2,2,57600,0,0.402511,1019
691,2,3,2,3,460800,0,0.417225,542
692,2,3,2,3,230400,0,0.420885,583
693,2,3,2,3,115200,0,0.406364,666
694,2,3,2,3,57600,0,0.414889,984
695,2,3,2,4,460800,0,0.425857,763
696,2,3,2,4,230400,0,0.424148,833
697,2,3,2,4,115200,0,0.437414,1006
698,2,3,2,4,57600,0,0.462164,1349
699,2,3,2,5,460800,0,0.425147,698
700,2,3,2,5,230400,0,0.424738,783
701,2,3,2,5,115200,0,0.41513,913
702,2,3,2,5,57600,0,0.437332,1215
703,2,3,3,1,460800,0,0.412906,491
704,2,3,3,1,230400,0,0.396039,565
705,2,3,3,1,115200,0,0.423352,713
706,2,3,3,1,57600,0,0.423618,1072
707,2,3,3,2,460800,0,0.435129,659
708,2,3,3,2,230400,0,0.441212,784
709,2,3,3,2,115200,0,0.409005,1026
710,2,3,3,2,57600,0,0.423764,1478
711,2,3,3,3,460800,0,0.439249,616
712,2,3,3,3,230400,0,0.412737,757
713,2,3,3,3,115200,0,0.40915,929
714,2,3,3,3,57600,0,0.39696,1457
715,2,3,3,4,460800,0,0.419972,951
716,2,3,3,4,230400,0,0.430779,1101
717,2,3,3,4,115200,0,0.398238,1397
718,2,3,3,4,57600,0,0.411347,2329
719,2,3,3,5,460800,0,0.432585,785
720,2,3,3,5,230400,0,0.417026,925
721,2,3,3,5,115200,0,0.415815,1151
722,2,3,3,5,57600,0,0.42277,1576
723,2,3,4,1,460800,0,0.416549,436
724,2,3,4,1,230400,0,0.392383,501
725,2,3,4,1,115200,0,0.394847,630
726,2,3,4,1,57600,0,0.407218,895
727,2,3,4,2,460800,0,0.426407,618
728,2,3,4,2,230400,0,0.397671,701
729,2,3,4,2,115200,0,0.392431,865
730,2,3,4,2,57600,0,0.397216,1257
731,2,3,4,3,460800,0,0.431648,627
732,2,3,4,3,230400,0,0.405399,699
733,2,3,4,3,115200,0,0.400494,934
734,2,3,4,3,57600,0,0.405328,1148
735,2,3,4,4,460800,0,0.42448,832
736,2,3,4,4,230400,0,0.409098,988
737,2,3,4,4,115200,0,0.437589,1276
738,2,3,4,4,57600,0,0.409768,1692
739,2,3,4,5,460800,0,0.429566,727
740,2,3,4,5,230400,0,0.425809,835
741,2,3,4,5,115200,0,0.416047,1206
742,2,3,4,5,57600,0,0.418296,1341
743,2,3,5,1,460800,0,0.455008,542
744,2,3,5,1,230400,0,0.449325,644
745,2,3,5,1,115200,0,0.420694,888
746,2,3,5,1,57600,0,0.396233,1295
747,2,3,5,2,460800,0,0.411207,846
748,2,3,5,2,230400,0,0.417133,932
749,2,3,5,2,115200,0,0.417694,1285
750,2,3,5,2,57600,0,0.399354,2018
751,2,3,5,3,460800,0,0.450911,864
752,2,3,5,3,230400,0,0.41884,962
753,2,3,5,3,115200,0,0.444789,1280
754,2,3,5,3,57600,0,0.416182,2397
755,2,3,5,4,460800,0,0.427414,1283
756,2,3,5,4,230400,0,0.426975,1399
757,2,3,5,4,115200,0,0.416563,2082
758,2,3,5,5,460800,0,0.42445,1025
759,2,3,5,5,115200,0,0.448911,1448
760,2,4,1,1,460800,0,0.392429,351
761,2,4,1,1,230400,0,0.371919,380
762,2,4,1,1,115200,0,0.36912,456
763,2,4,1,1,57600,0,0.36809,590
764,2,4,1,2,460800,0,0.368694,457
765,2,4,1,2,230400,0,0.376128,503
766,2,4,1,2,115200,0,0.386674,583
767,2,4,1,2,57600,0,0.386294,765
768,2,4,1,3,460800,0,0.4019,430
769,2,4,1,3,230400,0,0.374673,509
770,2,4,1,3,115200,0,0.390123,522
771,2,4,1,3,57600,0,0.406558,762
772,2,4,1,4,460800,0,0.429775,662
773,2,4,1,4,230400,0,0.405575,721
774,2,4,1,4,115200,0,0.423865,825
775,2,4,1,4,57600,0,0.371727,1053
776,2,4,1,5,460800,0,0.402886,582
777,2,4,1,5,115200,0,0.415022,661
778,2,4,1,5,57600,0,0.419052,798
779,2,4,2,1,460800,0,0.398904,413
780,2,4,2,1,230400,0,0.379514,447
781,2,4,2,1,115200,0,0.37099,508
782,2,4,2,1,57600,0,0.362355,742
783,2,4,2,2,460800,0,0.398197,496
784,2,4,2,2,230400,0,0.371586,559
785,2,4,2,2,115200,0,0.407164,668
786,2,4,2,2,57600,0,0.38879,968
787,2,4,2,3,460800,0,0.387906,511
788,2,4,2,3,230400,0,0.393361,561
789,2,4,2,3,115200,0,0.367501,627
790,2,4,2,3,57600,0,0.384815,1062
791,2,4,2,4,460800,0,0.365434,705
792,2,4,2,4,230400,0,0.370048,789
793,2,4,2,4,115200,0,0.389942,1010
794,2,4,2,4,57600,0,0.370666,1355
795,2,4,2,5,460800,0,0.384019,606
796,2,4,2,5,230400,0,0.382407,667
797,2,4,2,5,115200,0,0.378322,730
798,2,4,2,5,57600,0,0.381789,1054
799,2,4,3,1,460800,0,0.395207,464
800,2,4,3,1,230400,0,0.384022,552
801,2,4,3,1,115200,0,0.416778,706
802,2,4,3,1,57600,0,0.420203,1041
803,2,4,3,2,460800,0,0.393606,659
804,2,4,3,2,230400,0,0.389114,754
805,2,4,3,2,115200,0,0.397253,996
806,2,4,3,2,57600,0,0.36472,1515
807,2,4,3,3,460800,0,0.424583,677
808,2,4,3,3,230400,0,0.409884,744
809,2,4,3,3,115200,0,0.398588,969
810,2,4,3,3,57600,0,0.445175,1591
811,2,4,3,4,460800,0,0.403482,1038
812,2,4,3,4,230400,0,0.402214,1118
813,2,4,3,4,115200,0,0.389853,1494
814,2,4,3,4,57600,0,0.377669,2092
815,2,4,3,5,460800,0,0.429609,796
816,2,4,3,5,230400,0,0.404725,949
817,2,4,3,5,115200,0,0.412041,1187
818,2,4,3,5,57600,0,0.437437,1586
819,2,4,4,1,460800,0,0.396239,429
820,2,4,4,1,230400,0,0.364221,460
821,2,4,4,1,115200,0,0.368146,602
822,2,4,4,1,57600,0,0.361655,904
823,2,4,4,2,460800,0,0.373234,567
824,2,4,4,2,230400,0,0.379879,650
825,2,4,4,2,115200,0,0.382226,883
826,2,4,4,2,57600,0,0.371918,1221
827,2,4,4,3,460800,0,0.378169,621
828,2,4,4,3,230400,0,0.389156,735
829,2,4,4,3,115200,0,0.400976,934
830,2,4,4,3,57600,0,0.380647,1197
831,2,4,4,4,460800,0,0.433711,868
832,2,4,4,4,230400,0,0.422156,968
833,2,4,4,4,115200,0,0.408146,1285
834,2,4,4,4,57600,0,0.37734,1989
835,2,4,4,5,460800,0,0.406963,642
836,2,4,4,5,230400,0,0.386941,763
837,2,4,4,5,115200,0,0.424003,988
838,2,4,5,1,460800,0,0.408685,551
839,2,4,5,1,230400,0,0.394489,621
840,2,4,5,1,115200,0,0.393101,873
841,2,4,5,1,57600,0,0.424493,1321
842,2,4,5,2,460800,0,0.409088,866
843,2,4,5,2,230400,0,0.405864,928
844,2,4,5,2,115200,0,0.414081,1274
845,2,4,5,2,57600,0,0.387481,2040
846,2,4,5,3,460800,0,0.403266,890
847,2,4,5,3,230400,0,0.382062,947
848,2,4,5,3,115200,0,0.406558,1264
849,2,4,5,3,57600,0,0.390347,2296
850,2,4,5,4,460800,0,0.392636,1257
851,2,4,5,4,230400,0,0.383211,1335
852,2,4,5,5,460800,0,0.394444,1097
853,2,4,5,5,115200,0,0.388242,1708
854,2,5,1,1,460800,0,0.440719,364
855,2,5,1,1,230400,0,0.427773,427
856,2,5,1,1,115200,0,0.427748,460
857,2,5,1,1,57600,0,0.429275,696
858,2,5,1,2,460800,0,0.423341,523
859,2,5,1,2,230400,0,0.426045,542
860,2,5,1,2,115200,0,0.412873,642
861,2,5,1,2,57600,0,0.43864,840
862,2,5,1,3,230400,0,0.43814,619
863,2,5,1,3,115200,0,0.423866,744
864,2,5,1,3,57600,0,0.43223,896
865,2,5,1,4,460800,0,0.478264,851
866,2,5,1,4,230400,0,0.455982,848
867,2,5,1,4,57600,0,0.427766,1277
868,2,5,1,5,460800,0,0.450159,766
869,2,5,1,5,230400,0,0.443198,824
870,2,5,1,5,115200,0,0.451436,826
871,2,5,1,5,57600,0,0.427698,1178
872,2,5,2,1,460800,0,0.421585,434
873,2,5,2,1,230400,0,0.42156,486
874,2,5,2,1,115200,0,0.428956,606
875,2,5,2,1,57600,0,0.440284,800
876,2,5,2,2,460800,0,0.424207,615
877,2,5,2,2,230400,0,0.451612,663
878,2,5,2,2,115200,0,0.422005,784
879,2,5,2,2,57600,0,0.431602,1036
880,2,5,2,3,460800,0,0.437588,687
881,2,5,2,3,230400,0,0.439096,725
882,2,5,2,3,115200,0,0.411321,879
883,2,5,2,3,57600,0,0.613444,1154
884,2,5,2,4,460800,0,0.44047,867
885,2,5,2,4,230400,0,0.431172,1011
886,2,5,2,4,115200,0,0.431444,1113
887,2,5,2,4,57600,0,0.435277,1529
888,2,5,2,5,460800,0,0.428585,854
889,2,5,2,5,230400,0,0.428758,954
890,2,5,2,5,115200,0,0.430242,1053
891,2,5,2,5,57600,0,0.447852,1778
892,2,5,3,1,460800,0,0.427687,532
893,2,5,3,1,230400,0,0.448617,575
894,2,5,3,1,115200,0,0.419823,764
895,2,5,3,1,57600,0,0.4083,1068
896,2,5,3,2,460800,0,0.42928,769
897,2,5,3,2,230400,0,0.460588,881
898,2,5,3,2,57600,0,0.461634,1632
899,2,5,3,3,460800,0,0.467806,782
900,2,5,3,3,230400,0,0.42821,907
901,2,5,3,3,115200,0,0.419898,1070
902,2,5,3,3,57600,0,0.423855,1573
903,2,5,3,4,460800,0,0.424096,1215
904,2,5,3,4,230400,0,0.440793,1341
905,2,5,3,4,115200,0,0.432482,1690
906,2,5,3,4,57600,0,0.414069,2382
907,2,5,3,5,460800,0,0.456233,1011
908,2,5,3,5,230400,0,0.4579,1166
909,2,5,3,5,115200,0,0.413128,1407
910,2,5,4,1,460800,0,0.445292,497
911,2,5,4,1,230400,0,0.432388,552
912,2,5,4,1,115200,0,0.42435,685
913,2,5,4,1,57600,0,0.414198,955
914,2,5,4,2,460800,0,0.424325,711
915,2,5,4,2,230400,0,0.421843,789
916,2,5,4,2,115200,0,0.420909,969
917,2,5,4,2,57600,0,0.409258,1243
918,2,5,4,3,460800,0,0.434649,724
919,2,5,4,3,115200,0,0.406505,1055
920,2,5,4,3,57600,0,0.432363,1323
921,2,5,4,4,460800,0,0.45619,975
922,2,5,4,4,230400,0,0.427462,1166
923,2,5,4,4,115200,0,0.457198,1400
924,2,5,4,4,57600,0,0.410603,2029
925,2,5,4,5,460800,0,0.43197,944
926,2,5,4,5,230400,0,0.460876,1062
927,2,5,4,5,115200,0,0.405817,1345
928,2,5,5,1,460800,0,0.450986,606
929,2,5,5,1,230400,0,0.464382,699
930,2,5,5,1,115200,0,0.439292,981
931,2,5,5,1,57600,0,0.399602,1386
932,2,5,5,2,460800,0,0.460501,926
933,2,5,5,2,230400,0,0.451436,1056
934,2,5,5,2,115200,0,0.432756,1416
935,2,5,5,2,57600,0,0.429826,2182
936,2,5,5,3,460800,0,0.45374,916
937,2,5,5,3,230400,0,0.431103,904
938,2,5,5,3,115200,0,0.463832,1250
939,2,5,5,3,57600,0,0.445176,1974
940,2,5,5,4,460800,0,0.42699,1264
941,2,5,5,4,230400,0,0.423435,1359
942,2,5,5,4,115200,0,0.435076,1775
943,2,5,5,5,460800,0,0.438165,960
944,2,5,5,5,115200,0,0.426245,1539
945,4,1,1,1,460800,0,0.523444,312
946,4,1,1,1,230400,0,0.532323,337
947,4,1,1,1,115200,0,0.524733,444
948,4,1,1,1,57600,0,0.548674,494
949,4,1,1,2,460800,0,0.479899,378
950,4,1,1,2,230400,0,0.527576,419
951,4,1,1,2,115200,0,0.507679,482
952,4,1,1,2,57600,0,0.565435,602
953,4,1,1,3,460800,0,0.516733,364
954,4,1,1,3,230400,0,0.482654,410
955,4,1,1,3,115200,0,0.498888,457
956,4,1,1,3,57600,0,0.477555,632
957,4,1,1,4,460800,0,0.510848,469
958,4,1,1,4,230400,0,0.511492,501
959,4,1,1,4,115200,0,0.497722,600
960,4,1,1,4,57600,0,0.527343,849
961,4,1,1,5,460800,0,0.485672,404
962,4,1,1,5,230400,0,0.483533,457
963,4,1,1,5,115200,0,0.494258,496
964,4,1,1,5,57600,0,0.488339,640
965,4,1,2,1,460800,0,0.492121,356
966,4,1,2,1,230400,0,0.513868,393
967,4,1,2,1,115200,0,0.487482,485
968,4,1,2,1,57600,0,0.489859,713
969,4,1,2,2,460800,0,0.48809,448
970,4,1,2,2,230400,0,0.514216,508
971,4,1,2,2,115200,0,0.494673,632
972,4,1,2,2,57600,0,0.472926,920
973,4,1,2,3,460800,0,0.508591,432
974,4,1,2,3,230400,0,0.499689,495
975,4,1,2,3,115200,0,0.501516,569
976,4,1,2,3,57600,0,0.572585,863
977,4,1,2,4,460800,0,0.514247,557
978,4,1,2,4,230400,0,0.504796,605
979,4,1,2,4,115200,0,0.508448,849
980,4,1,2,4,57600,0,0.507057,1214
981,4,1,2,5,460800,0,0.50862,478
982,4,1,2,5,230400,0,0.51813,535
983,4,1,2,5,115200,0,0.478493,615
984,4,1,2,5,57600,0,0.554549,970
985,4,1,3,1,460800,0,0.509944,425
986,4,1,3,1,230400,0,0.537665,488
987,4,1,3,1,115200,0,0.538102,672
988,4,1,3,1,57600,0,0.48266,1049
989,4,1,3,2,460800,0,0.540872,537
990,4,1,3,2,230400,0,0.482893,641
991,4,1,3,2,115200,0,0.512334,919
992,4,1,3,2,57600,0,0.525247,1433
993,4,1,3,3,460800,0,0.512159,537
994,4,1,3,3,230400,0,0.527754,622
995,4,1,3,3,115200,0,0.517931,859
996,4,1,3,3,57600,0,0.525335,1294
997,4,1,3,4,460800,0,0.572784,811
998,4,1,3,4,230400,0,0.500009,880
999,4,1,3,4,115200,0,0.490275,1178
1000,4,1,3,4,57600,0,0.499834,2005
1001,4,1,3,5,460800,0,0.557254,588
1002,4,1,3,5,230400,0,0.53682,728
1003,4,1,3,5,115200,0,0.497555,1015
1004,4,1,3,5,57600,0,0.509069,1489
1005,4,1,4,1,460800,0,0.498917,380
1006,4,1,4,1,230400,0,0.502464,461
1007,4,1,4,1,115200,0,0.504426,556
1008,4,1,4,1,57600,0,0.507137,871
1009,4,1,4,2,460800,0,0.501945,551
1010,4,1,4,2,230400,0,0.545353,576
1011,4,1,4,2,115200,0,0.524096,768
1012,4,1,4,2,57600,0,0.498513,1067
1013,4,1,4,3,460800,0,0.526692,457
1014,4,1,4,3,230400,0,0.533989,554
1015,4,1,4,3,115200,0,0.504224,768
1016,4,1,4,3,57600,0,0.522683,1079
1017,4,1,4,4,460800,0,0.499295,637
1018,4,1,4,4,230400,0,0.45575,783
1019,4,1,4,4,115200,0,0.518386,1164
1020,4,1,4,4,57600,0,0.498891,1612
1021,4,1,4,5,460800,0,0.539873,544
1022,4,1,4,5,230400,0,0.513194,700
1023,4,1,4,5,115200,0,0.519251,860
1024,4,1,4,5,57600,0,0.529201,1214
1025,4,1,5,1,460800,0,0.517525,499
1026,4,1,5,1,230400,0,0.502346,662
1027,4,1,5,1,115200,0,0.51436,802
1028,4,1,5,1,57600,0,0.479372,1272
1029,4,1,5,2,460800,0,0.516001,724
1030,4,1,5,2,230400,0,0.507181,810
1031,4,1,5,2,115200,0,0.520162,1185
1032,4,1,5,2,57600,0,0.487665,1919
1033,4,1,5,3,460800,0,0.489804,624
1034,4,1,5,3,230400,0,0.500763,718
1035,4,1,5,3,115200,0,0.502639,997
1036,4,1,5,3,57600,0,0.535898,1658
1037,4,1,5,4,460800,0,0.52204,910
1038,4,1,5,4,230400,0,0.552539,1139
1039,4,1,5,4,115200,0,0.518172,1512
1040,4,1,5,4,57600,0,0.49362,2330
1041,4,1,5,5,460800,0,0.492441,650
1042,4,1,5,5,115200,0,0.510023,1135
1043,4,2,1,1,460800,0,0.449627,334
1044,4,2,1,1,230400,0,0.455647,344
1045,4,2,1,1,115200,0,0.432464,437
1046,4,2,1,1,57600,0,0.44686,560
1047,4,2,1,2,460800,0,0.416658,381
1048,4,2,1,2,230400,0,0.438765,421
1049,4,2,1,2,115200,0,0.449729,508
1050,4,2,1,2,57600,0,0.44417,667
1051,4,2,1,3,460800,0,0.445144,370
1052,4,2,1,3,230400,0,0.459874,415
1053,4,2,1,3,115200,0,0.435358,512
1054,4,2,1,3,57600,0,0.4371,662
1055,4,2,1,4,460800,0,0.471415,500
1056,4,2,1,4,230400,0,0.450516,591
1057,4,2,1,4,115200,0,0.440963,705
1058,4,2,1,4,57600,0,0.431512,833
1059,4,2,1,5,460800,0,0.455647,478
1060,4,2,1,5,230400,0,0.435153,509
1061,4,2,1,5,115200,0,0.422704,567
1062,4,2,1,5,57600,0,0.443504,794
1063,4,2,2,1,460800,0,0.551168,370
1064,4,2,2,1,230400,0,0.425784,393
1065,4,2,2,1,115200,0,0.43158,508
1066,4,2,2,1,57600,0,0.470177,743
1067,4,2,2,2,460800,0,0.455321,453
1068,4,2,2,2,230400,0,0.438363,472
1069,4,2,2,2,115200,0,0.415483,636
1070,4,2,2,2,57600,0,0.426164,868
1071,4,2,2,3,460800,0,0.446589,420
1072,4,2,2,3,230400,0,0.417584,480
1073,4,2,2,3,115200,0,0.468279,604
1074,4,2,2,3,57600,0,0.432997,845
1075,4,2,2,4,460800,0,0.454956,592
1076,4,2,2,4,230400,0,0.471556,681
1077,4,2,2,4,115200,0,0.457056,882
1078,4,2,2,4,57600,0,0.436509,1146
1079,4,2,2,5,460800,0,0.472658,476
1080,4,2,2,5,230400,0,0.428847,545
1081,4,2,2,5,57600,0,0.504244,997
1082,4,2,3,1,460800,0,0.470179,443
1083,4,2,3,1,230400,0,0.41719,523
1084,4,2,3,1,115200,0,0.439139,663
1085,4,2,3,1,57600,0,0.486068,1046
1086,4,2,3,2,460800,0,0.497603,591
1087,4,2,3,2,230400,0,0.481001,711
1088,4,2,3,2,115200,0,0.445836,959
1089,4,2,3,2,57600,0,0.455308,1430
1090,4,2,3,3,460800,0,0.451311,529
1091,4,2,3,3,230400,0,0.446523,632
1092,4,2,3,3,115200,0,0.461063,864
1093,4,2,3,3,57600,0,0.438273,1316
1094,4,2,3,4,460800,0,0.459449,844
1095,4,2,3,4,230400,0,0.429331,930
1096,4,2,3,4,115200,0,0.41846,1321
1097,4,2,3,4,57600,0,0.423425,2101
1098,4,2,3,5,460800,0,0.444665,650
1099,4,2,3,5,230400,0,0.424931,785
1100,4,2,3,5,115200,0,0.429005,1044
1101,4,2,3,5,57600,0,0.454723,1838
1102,4,2,4,1,460800,0,0.462645,392
1103,4,2,4,1,230400,0,0.410723,450
1104,4,2,4,1,115200,0,0.425515,582
1105,4,2,4,1,57600,0,0.417741,867
1106,4,2,4,2,460800,0,0.429615,526
1107,4,2,4,2,230400,0,0.448205,623
1108,4,2,4,2,115200,0,0.412484,835
1109,4,2,4,2,57600,0,0.410924,1254
1110,4,2,4,3,460800,0,0.445514,465
1111,4,2,4,3,230400,0,0.432181,567
1112,4,2,4,3,115200,0,0.415201,830
1113,4,2,4,3,57600,0,0.426294,1034
1114,4,2,4,4,460800,0,0.459438,731
1115,4,2,4,4,230400,0,0.453804,895
1116,4,2,4,4,115200,0,0.479886,1228
1117,4,2,4,4,57600,0,0.460695,1633
1118,4,2,4,5,460800,0,0.44179,509
1119,4,2,4,5,230400,0,0.440331,681
1120,4,2,4,5,115200,0,0.448985,784
1121,4,2,4,5,57600,0,0.438797,1217
1122,4,2,5,1,460800,0,0.434718,497
1123,4,2,5,1,230400,0,0.445528,608
1124,4,2,5,1,115200,0,0.442403,828
1125,4,2,5,1,57600,0,0.433258,1213
1126,4,2,5,2,460800,0,0.471299,760
1127,4,2,5,2,230400,0,0.461487,867
1128,4,2,5,2,115200,0,0.414916,1211
1129,4,2,5,2,57600,0,0.425829,2020
1130,4,2,5,3,460800,0,0.466969,713
1131,4,2,5,3,230400,0,0.46948,822
1132,4,2,5,3,115200,0,0.45639,1093
1133,4,2,5,3,57600,0,0.45411,1849
1134,4,2,5,4,460800,0,0.46929,1122
1135,4,2,5,4,230400,0,0.469827,1286
1136,4,2,5,4,115200,0,0.449133,1971
1137,4,2,5,5,460800,0,0.47071,830
1138,4,2,5,5,115200,0,0.453982,1291
1139,4,3,1,1,460800,0,0.419011,358
1140,4,3,1,1,230400,0,0.414377,379
1141,4,3,1,1,115200,0,0.412841,466
1142,4,3,1,1,57600,0,0.416548,615
1143,4,3,1,2,460800,0,0.41389,465
1144,4,3,1,2,230400,0,0.412036,499
1145,4,3,1,2,115200,0,0.407549,594
1146,4,3,1,2,57600,0,0.414133,779
1147,4,3,1,3,460800,0,0.432668,445
1148,4,3,1,3,230400,0,0.41784,486
1149,4,3,1,3,115200,0,0.442594,542
1150,4,3,1,3,57600,0,0.407232,730
1151,4,3,1,4,460800,0,0.450627,619
1152,4,3,1,4,230400,0,0.411443,654
1153,4,3,1,4,115200,0,0.411492,793
1154,4,3,1,4,57600,0,0.398227,999
1155,4,3,1,5,460800,0,0.458715,561
1156,4,3,1,5,115200,0,0.431571,645
1157,4,3,1,5,57600,0,0.421621,913
1158,4,3,2,1,460800,0,0.409182,410
1159,4,3,2,1,230400,0,0.409928,463
1160,4,3,2,1,115200,0,0.418646,556
1161,4,3,2,1,57600,0,0.439909,726
1162,4,3,2,2,460800,0,0.462232,528
1163,4,3,2,2,230400,0,0.434443,621
1164,4,3,2,2,115200,0,0.441859,722
1165,4,3,2,2,57600,0,0.412746,1019
1166,4,3,2,3,460800,0,0.417225,542
1167,4,3,2,3,230400,0,0.420885,583
1168,4,3,2,3,115200,0,0.406364,666
1169,4,3,2,4,460800,0,0.425857,763
1170,4,3,2,4,230400,0,0.424148,833
1171,4,3,2,4,115200,0,0.437414,1006
1172,4,3,2,4,57600,0,0.462164,1349
1173,4,3,2,5,460800,0,0.425147,698
1174,4,3,2,5,230400,0,0.424738,783
1175,4,3,2,5,115200,0,0.41513,913
1176,4,3,2,5,57600,0,0.437332,1215
1177,4,3,3,1,460800,0,0.412906,491
1178,4,3,3,1,230400,0,0.396039,565
1179,4,3,3,1,115200,0,0.423352,713
1180,4,3,3,1,57600,0,0.423618,1072
1181,4,3,3,2,460800,0,0.435129,659
1182,4,3,3,2,230400,0,0.441212,784
1183,4,3,3,2,115200,0,0.409005,1026
1184,4,3,3,2,57600,0,0.423764,1478
1185,4,3,3,3,460800,0,0.439249,616
1186,4,3,3,3,230400,0,0.412737,757
1187,4,3,3,3,115200,0,0.40915,929
1188,4,3,3,3,57600,0,0.39696,1457
1189,4,3,3,4,460800,0,0.419972,951
1190,4,3,3,4,230400,0,0.430779,1101
1191,4,3,3,4,115200,0,0.398238,1397
1192,4,3,3,4,57600,0,0.404417,2347
1193,4,3,3,5,460800,0,0.432585,785
1194,4,3,3,5,230400,0,0.417026,925
1195,4,3,3,5,115200,0,0.415815,1151
1196,4,3,3,5,57600,0,0.42277,1576
1197,4,3,4,1,460800,0,0.416549,436
1198,4,3,4,1,230400,0,0.392383,501
1199,4,3,4,1,115200,0,0.394847,630
1200,4,3,4,1,57600,0,0.407218,895
1201,4,3,4,2,460800,0,0.426407,618
1202,4,3,4,2,230400,0,0.397671,701
1203,4,3,4,2,115200,0,0.392431,865
1204,4,3,4,2,57600,0,0.397216,1257
1205,4,3,4,3,460800,0,0.422579,628
1206,4,3,4,3,230400,0,0.405399,699
1207,4,3,4,3,115200,0,0.400494,934
1208,4,3,4,3,57600,0,0.405328,1148
1209,4,3,4,4,460800,0,0.42448,832
1210,4,3,4,4,230400,0,0.409098,988
1211,4,3,4,4,115200,0,0.437589,1276
1212,4,3,4,4,57600,0,0.409768,1692
1213,4,3,4,5,460800,0,0.429566,727
1214,4,3,4,5,230400,0,0.425809,835
1215,4,3,4,5,115200,0,0.416047,1206
1216,4,3,4,5,57600,0,0.418296,1341
1217,4,3,5,1,460800,0,0.455008,542
1218,4,3,5,1,230400,0,0.449325,644
1219,4,3,5,1,115200,0,0.420694,888
1220,4,3,5,1,57600,0,0.396233,1295
